gene_id,gene_name,log2FC_3mo,log2FC_18mo,qvalue_18mo,sig_at_18mo,direction_18mo
ENSDARG00000053127,helb,0.5051,-1.1808,0.001346,True,down_in_MUT
ENSDARG00000053131,irak3,0.1019,-0.1784,0.327606,False,not_significant
ENSDARG00000053136,b2m,-0.1306,0.6894,0.027004,False,not_significant
ENSDARG00000069912,hmga2,-0.0971,0.4618,0.246227,False,not_significant
ENSDARG00000045658,msrb3,-0.2532,1.0341,0.000573,True,up_in_MUT
ENSDARG00000015824,lemd3,0.0866,-0.5019,0.124271,False,not_significant
ENSDARG00000005541,wif1,0.3438,-0.4505,0.200513,False,not_significant
ENSDARG00000078613,vhll,0.2669,-0.5203,0.244043,False,not_significant
ENSDARG00000014361,tmbim4,-0.1979,0.4028,0.098315,False,not_significant
ENSDARG00000015053,grip1,-0.7345,0.4968,0.085049,False,not_significant
ENSDARG00000017841,cand1,0.2714,-0.9273,0.001938,False,not_significant
ENSDARG00000045669,si_dkey-39a18.1,1.1751,1.3465,0.026843,True,up_in_MUT
ENSDARG00000094646,dyrk2,0.1129,0.4494,0.087127,False,not_significant
ENSDARG00000045675,mdm1,1.4586,-3.3503,6e-06,True,down_in_MUT
ENSDARG00000045676,calua,0.4473,-0.5445,0.026548,False,not_significant
ENSDARG00000045680,tnpo3,-0.0265,0.1627,0.276078,False,not_significant
ENSDARG00000045681,irf5,0.2446,-1.0039,0.027595,True,down_in_MUT
ENSDARG00000045683,ccdc87,2.4134,-4.1712,0.0,True,down_in_MUT
ENSDARG00000078745,pnpla8,0.138,0.1522,0.273251,False,not_significant
ENSDARG00000105458,si_dkeyp-81f3.4,1.3262,-5.6409,0.0,True,down_in_MUT
ENSDARG00000006396,nrcama,0.6837,-1.8157,0.000219,True,down_in_MUT
ENSDARG00000045685,cntn1b,0.3314,-0.6039,0.255089,False,not_significant
ENSDARG00000022550,gxylt1b,-0.3289,-0.3409,0.219741,False,not_significant
ENSDARG00000045692,pphln1,-0.0234,0.1212,0.295872,False,not_significant
ENSDARG00000015966,yaf2,0.2887,-0.1412,0.33007,False,not_significant
ENSDARG00000045691,zcrb1,0.2328,-0.2133,0.27309,False,not_significant
ENSDARG00000045694,prickle1b,-0.3108,0.7362,0.010671,False,not_significant
ENSDARG00000086259,CU469420.1,0.2288,-1.5776,0.013395,True,down_in_MUT
ENSDARG00000069780,pus7l,0.7415,-2.6815,0.0,True,down_in_MUT
ENSDARG00000011661,twf1b,0.206,-0.0488,0.383344,False,not_significant
ENSDARG00000062797,nell2b,0.1371,-0.8823,0.100643,False,not_significant
ENSDARG00000020086,nuak1a,-0.3363,0.7476,0.0561,False,not_significant
ENSDARG00000003811,plxnb2a,-0.3661,0.2509,0.221039,False,not_significant
ENSDARG00000015985,abcc9,-0.3812,0.7117,0.022644,False,not_significant
ENSDARG00000045589,kcnj8,-0.3076,0.4624,0.187688,False,not_significant
ENSDARG00000057334,cmasa,-0.1579,0.4813,0.04139,False,not_significant
ENSDARG00000045595,si_dkey-14k9.3,0.8422,-0.3188,0.243091,False,not_significant
ENSDARG00000006215,akr1b1.1,0.6382,-0.8168,0.042972,False,not_significant
ENSDARG00000045598,akr1b1.2,-0.0571,0.7938,0.001942,False,not_significant
ENSDARG00000017366,prdm4,-0.0375,1.0313,0.000159,True,up_in_MUT
ENSDARG00000020101,psmc2,-0.2113,0.4354,0.087641,False,not_significant
ENSDARG00000022424,slc26a5,-0.1203,0.535,0.120651,False,not_significant
ENSDARG00000004497,tspan33a,-0.8433,0.4684,0.202563,False,not_significant
ENSDARG00000002952,smo,-0.3945,0.6627,0.057852,False,not_significant
ENSDARG00000045601,cax1,2.2542,-5.0725,0.0,True,down_in_MUT
ENSDARG00000007764,klhdc10,0.0153,0.2261,0.258428,False,not_significant
ENSDARG00000062651,zc3hc1,0.1438,-0.3073,0.219254,False,not_significant
