gene_id,gene_name,q1_log2FC,q1_sig,q2_log2FC,q2_sig,direction,tf_family,biotype
ENSDARG00000075016,apobb.2,-4.042,0.0099051015994857,8.579,7.448139204161099e-05,OPPOSITE,-,protein_coding
ENSDARG00000101861,cyp2k19,-2.276,0.0104288367969733,6.919,7.77128758689709e-06,OPPOSITE,-,protein_coding
ENSDARG00000045299,vmo1b,-2.889,0.0105695767455928,6.727,0.0008086852060991,OPPOSITE,-,protein_coding
ENSDARG00000022689,itgb1b.2,-1.842,0.0105914295950481,4.715,0.000689394782797,OPPOSITE,-,protein_coding
ENSDARG00000098162,zgc_77748,-6.053,0.0112124826403968,5.682,0.0245001051453152,OPPOSITE,-,protein_coding
ENSDARG00000061383,serpinf2b,-2.56,0.0114988644801638,4.479,0.0263478476356181,OPPOSITE,-,protein_coding
ENSDARG00000026764,ahsg1,-2.647,0.0119448849500767,8.521,4.076692938733301e-06,OPPOSITE,-,protein_coding
ENSDARG00000098538,CABZ01112049.1,-1.875,0.0119644999879937,5.71,8.826918383557986e-05,OPPOSITE,-,protein_coding
ENSDARG00000101726,si_ch211-93f2.1,-1.578,0.011983162061205,2.644,0.0057873555253238,OPPOSITE,-,protein_coding
ENSDARG00000040248,crata,1.042,0.0127626088288872,-2.266,0.0246677235899997,OPPOSITE,-,protein_coding
ENSDARG00000033738,zgc_153867,1.991,0.0128452503305093,-1.041,0.035585273640877,OPPOSITE,-,protein_coding
ENSDARG00000041540,sult1st2,-2.485,0.0128452503305093,4.088,0.0305413488379438,OPPOSITE,-,protein_coding
ENSDARG00000012513,sdcbp2,-2.406,0.0132179105893259,2.393,0.000644797116435,OPPOSITE,-,protein_coding
ENSDARG00000063518,zgc_153913,-2.984,0.0135329799718724,5.647,0.0042558240261721,OPPOSITE,-,protein_coding
ENSDARG00000019532,fads2,-2.693,0.0135329799718724,5.062,0.003130550483604,OPPOSITE,-,protein_coding
ENSDARG00000092639,BX649641.1,-3.798,0.0135329799718724,7.125,0.0130010795958459,OPPOSITE,-,unprocessed_pseudogene
ENSDARG00000061747,dipk2b,1.885,0.0136955485611027,-3.725,5.220331434234125e-05,OPPOSITE,-,protein_coding
ENSDARG00000034048,zgc_92275,-1.343,0.0138633935112666,2.759,0.0115852153772811,OPPOSITE,-,protein_coding
ENSDARG00000060034,tmem151ba,-2.492,0.0143474371353654,6.044,0.0014933263364448,OPPOSITE,-,protein_coding
ENSDARG00000099386,lrrtm4l2,-1.92,0.0149717491750052,3.123,0.0084323917598725,OPPOSITE,-,protein_coding
ENSDARG00000026395,rfx4,-3.357,0.0155134345783848,-3.183,0.0491700298099958,SAME,RFX,protein_coding
ENSDARG00000007988,masp2,-3.011,0.0169859554796202,9.699,0.000111014140854,OPPOSITE,-,protein_coding
ENSDARG00000098952,gata4,-2.184,0.0171959506366861,3.675,0.0417907431053288,OPPOSITE,zf-GATA,protein_coding
ENSDARG00000099425,CABZ01073265.1,-2.001,0.0172342793981243,7.555,6.53380101409709e-07,OPPOSITE,-,protein_coding
ENSDARG00000027355,slc25a4,-1.791,0.0176670473193419,5.06,5.171608161008177e-07,OPPOSITE,-,protein_coding
ENSDARG00000059824,soat2,-2.589,0.0180404454170278,7.547,0.0069427335864241,OPPOSITE,-,protein_coding
ENSDARG00000116628,BX908782.3,-1.601,0.0182080654111382,5.231,0.0023549854730062,OPPOSITE,-,protein_coding
ENSDARG00000051912,hpxb,-2.071,0.0184378689361111,3.914,0.036480821510883,OPPOSITE,-,protein_coding
ENSDARG00000010312,cp,-3.166,0.0186953686775388,7.44,3.5960753304939547e-06,OPPOSITE,-,protein_coding
ENSDARG00000012694,c3a.1,-3.164,0.0189053275857828,7.273,1.1495427219784474e-06,OPPOSITE,-,protein_coding
ENSDARG00000046142,si_ch211-170d8.5,-2.634,0.0189988646710594,6.423,0.0015859989212952,OPPOSITE,-,protein_coding
ENSDARG00000099633,sec14l7,-2.694,0.0190240272632361,6.921,0.0003230355067715,OPPOSITE,-,protein_coding
ENSDARG00000018351,hpda,-3.065,0.0193663413601972,8.971,5.308047830887279e-07,OPPOSITE,-,protein_coding
ENSDARG00000029296,nexmifb,-1.826,0.0195512723163543,3.145,0.0193950549106837,OPPOSITE,-,protein_coding
ENSDARG00000027825,naa50,1.055,0.0195792910872983,1.625,0.0485448390012102,SAME,-,protein_coding
ENSDARG00000092155,apoc2,-3.597,0.0196033730836538,8.809,2.932308521538853e-06,OPPOSITE,-,protein_coding
ENSDARG00000058005,hgd,-1.778,0.0196849924741289,3.739,0.0156666547269968,OPPOSITE,-,protein_coding
ENSDARG00000055388,vtna,-3.056,0.0205272895688799,5.668,0.0074302135574908,OPPOSITE,-,protein_coding
