,q1_activity,q1_pval,age_activity,age_pval,sig_q1,sig_age,sig_both,same_direction
PAX5,0.7449039337375716,0.7500784397125244,-0.3237599777278657,0.9259219765663147,False,False,False,False
NPM1,0.746026383156312,0.7500784397125244,0.09610283489194359,0.9714920520782471,False,False,False,True
KLF1,0.75160223634983,0.7483651638031006,-1.306410368425935,0.5829251408576965,False,False,False,False
HSF2,0.7566660437259387,0.7466331720352173,0.3975719771186326,0.9062198996543884,False,False,False,True
OVOL1,0.7598611264871968,0.7466331720352173,-0.5149234761522697,0.8830636143684387,False,False,False,False
CREB5,0.7599500074787,0.7466331720352173,0.7603676970764991,0.8015767335891724,False,False,False,True
KLF4,0.7758899001839493,0.7381736636161804,-1.6433748674415694,0.46072259545326233,False,False,False,False
TWIST2,0.7767187392226059,0.7381736636161804,1.9106786608114312,0.346329003572464,False,False,False,True
NR2F2,0.7768032426594804,0.7381736636161804,0.5003524955734399,0.8830636143684387,False,False,False,True
PURA,0.782886875281147,0.7365642786026001,0.36695050121707307,0.9136937260627747,False,False,False,True
TBX5,0.7846999519190259,0.7365642786026001,-0.4966146757243159,0.8842319846153259,False,False,False,False
MSX1,0.786306720901499,0.7365642786026001,0.8404337206224405,0.7704545259475708,False,False,False,True
EBF3,0.7880583019013669,0.7365642786026001,-0.16553212677920373,0.9714217782020569,False,False,False,False
HOXD1,0.7903672401511564,0.7365642786026001,0.670631889337794,0.8175334334373474,False,False,False,True
RORA,0.7920718189884218,0.7365642786026001,0.8503650293482031,0.7673507332801819,False,False,False,True
KDM5A,0.8036436715262444,0.7320618629455566,-1.5479784985178728,0.49082517623901367,False,False,False,False
HOXB7,0.8084372964250833,0.7308993339538574,-0.9756070237363011,0.7182358503341675,False,False,False,False
ZNF76,0.8099940840649561,0.7308993339538574,-0.03462514619720892,0.9931373596191406,False,False,False,False
NR0B2,0.8238231809257178,0.7227736711502075,-0.799092014527095,0.7898380756378174,False,False,False,False
HNF4A,0.8261681618967985,0.7222509384155273,7.58029918706198,1.2836026512530463e-11,False,True,False,True
GTF3A,0.8450675139374029,0.707037627696991,-0.9780763674464635,0.7182358503341675,False,False,False,False
PPARG,0.8461927205628159,0.707037627696991,1.4346331646274437,0.5231906771659851,False,False,False,True
FEZF2,0.8465448413174177,0.707037627696991,0.579127103718784,0.8610401153564453,False,False,False,True
TBX15,0.8530166731169534,0.7063716650009155,0.03847451426998871,0.9931373596191406,False,False,False,True
MECP2,0.8575938810951806,0.703635036945343,-2.5346409771296465,0.12288885563611984,False,False,False,False
ARX,0.8688335450086003,0.6961085796356201,0.33975478316780305,0.9182160496711731,False,False,False,True
NFE2L1,0.8739743815328512,0.6928296089172363,-0.25753761598522035,0.9442172050476074,False,False,False,False
NEUROG2,0.8783287564486192,0.690331757068634,-1.7971054832518458,0.3854547142982483,False,False,False,False
MYT1,0.8886224698837567,0.6837882995605469,-2.1361724005932228,0.2563287615776062,False,False,False,False
FOXO4,0.8904398616891642,0.6837882995605469,-0.676477775950354,0.8175334334373474,False,False,False,False
FOXP1,0.8906719603787404,0.6837882995605469,-2.9164926777114832,0.06187572702765465,False,False,False,False
AEBP1,0.8941787375830687,0.6837133169174194,0.5475328135489119,0.8747797608375549,False,False,False,True
CDX2,0.895762612556145,0.6837133169174194,4.607384617376817,0.0003591137647163123,False,True,False,True
