,activity,pval
TOX3,0.5498535398344108,0.8747797608375549
AEBP1,0.5475328135489119,0.8747797608375549
KAT6B,0.5424200263725266,0.8781622648239136
IRX1,0.5361367393704287,0.8789945244789124
DLX5,0.5330523145654633,0.8802896738052368
SF1,0.5309270168173583,0.8806014060974121
BRCA1,0.5209374253944135,0.8830636143684387
MZF1,0.5185022965985899,0.8830636143684387
HIC1,0.5155051582524812,0.8830636143684387
PRDM16,0.5104467467775252,0.8830636143684387
NFE2L3,0.5068608859936378,0.8830636143684387
CLOCK,0.5047705147287223,0.8830636143684387
NR2F2,0.5003524955734399,0.8830636143684387
AR,0.4914336965875898,0.8862876296043396
FGF2,0.49000191139093136,0.8862876296043396
MSX2,0.47794971140004666,0.8871720433235168
GATA3,0.4735034496542527,0.8873828649520874
APEX1,0.46678996138818357,0.8907952308654785
JARID2,0.44789601574847054,0.8961728811264038
HIVEP1,0.4475985193791958,0.8961728811264038
HINFP,0.4428725416825194,0.8964123725891113
GATA6,0.4427969138175663,0.8964123725891113
CTBP1,0.4415466502660613,0.8964123725891113
ESR1,0.4369819549946799,0.8974133133888245
BCL11B,0.4294615340206804,0.9013170003890991
ZHX2,0.42490688996315823,0.9040467739105225
TBPL2,0.4181554710880419,0.9062198996543884
MYC,0.4090302086780282,0.9062198996543884
HAND2,0.40545245483227,0.9062198996543884
NR1D2,0.40410362053013943,0.9062198996543884
KLF9,0.40286836076600946,0.9062198996543884
HMGA1,0.3989961540793698,0.9062198996543884
HSF2,0.3975719771186326,0.9062198996543884
SMARCA1,0.39683700065595306,0.9062198996543884
TWIST1,0.3964816422159006,0.9062198996543884
HOXA9,0.3943931553283622,0.9062198996543884
ZKSCAN7,0.3795318148157787,0.9100565314292908
ELF5,0.37354903914536747,0.9127391576766968
PURA,0.36695050121707307,0.9136937260627747
ATF6,0.36402391345640905,0.9136937260627747
ABL1,0.35951229645604343,0.9136937260627747
JDP2,0.358520971370129,0.9136937260627747
LRRFIP1,0.3545320671662021,0.9141597747802734
MAF,0.3507107432940381,0.914611279964447
VSX2,0.34987582102851134,0.914611279964447
SIX4,0.3470700545395847,0.914611279964447
TFEB,0.3398006132919621,0.9182160496711731
ARX,0.33975478316780305,0.9182160496711731
EN1,0.3304430010475278,0.9237741827964783
NAB2,0.3263995432043021,0.9258481860160828
E2F1,0.31968802597627727,0.9259219765663147
ZNF410,0.3165762948477755,0.9268479943275452
PPARGC1B,0.3039089934624723,0.9306084513664246
PRDM2,0.3033120194105902,0.9306084513664246
RFX5,0.29160575479120454,0.9358134865760803
ID3,0.2893891472855599,0.9358630776405334
FOXI1,0.2722232779455376,0.9391927123069763
HTATIP2,0.2705559038357701,0.9391927123069763
PPARGC1A,0.26913825943604935,0.9391927123069763
ESRRB,0.2682757314281736,0.9391927123069763
STAT5A,0.2585658703469892,0.9442172050476074
SOX5,0.2482762728764818,0.9463640451431274
E2F4,0.24205248624009057,0.9463640451431274
ETV2,0.2408849147904374,0.9463640451431274
SMARCC1,0.24065086674681951,0.9463640451431274
POU4F2,0.2405527716568133,0.9463640451431274
HOXA13,0.2350518965990903,0.9463640451431274
EOMES,0.2263546230681623,0.9481555223464966
MAFK,0.2236983642862017,0.9481555223464966
ZBTB33,0.2226547901759597,0.9481555223464966
ZBTB7B,0.20913929871131937,0.9517443180084229
ZNF300,0.20901196440501732,0.9517443180084229
ZNF350,0.2048985627668822,0.953805685043335
E4F1,0.20090323946996422,0.9538784027099609
ERG,0.19983569118328853,0.9538784027099609
IKZF4,0.19200676427416377,0.9574796557426453
NKX6-2,0.18508369831011207,0.9610106348991394
BMAL2,0.18450548744298748,0.9610106348991394
MXD1,0.16796483187552344,0.9709410071372986
HIF1A,0.16388258376113293,0.9714217782020569
RBPJ,0.16142436632212878,0.9714920520782471
JUN,0.15049618592939332,0.9714920520782471
BHLHE41,0.15032090025814826,0.9714920520782471
HOXB6,0.1497515496939634,0.9714920520782471
HIPK2,0.1351264763285041,0.9714920520782471
MED1,0.12666447272372547,0.9714920520782471
GCM1,0.1194394093961385,0.9714920520782471
MESP2,0.11928307634858365,0.9714920520782471
NR4A1,0.1144234860171309,0.9714920520782471
TCF7L1,0.10792105634589137,0.9714920520782471
HOXB2,0.10743890037411036,0.9714920520782471
ZFPM1,0.10231355791757607,0.9714920520782471
ARID3A,0.10089139322094119,0.9714920520782471
LHX8,0.09914360421325258,0.9714920520782471
FOXC1,0.099002847532427,0.9714920520782471
EWSR1,0.0989586547209583,0.9714920520782471
NPM1,0.09610283489194359,0.9714920520782471
NRF1,0.09518403016976898,0.9714920520782471
RORC,0.08746408749943728,0.9764693975448608
ZNF160,0.08495494697436713,0.9770936369895935
PLAG1,0.06375257866239818,0.9873612523078918
ZNF395,0.05970618623381824,0.9877691268920898
BHLHA15,0.05646418009851605,0.9887776970863342
TBPL1,0.05315054323065139,0.9887776970863342
HCFC1,0.051206569010233,0.9889141321182251
KLF2,0.04317824479346275,0.9931373596191406
NFIX,0.03892299606210268,0.9931373596191406
TBX15,0.03847451426998871,0.9931373596191406
BMAL1,0.035151009168951974,0.9931373596191406
PAX3,0.03389245489803693,0.9931373596191406
KAT2B,0.02853091292952073,0.9950389266014099
NCOA3,0.027661887614824694,0.9950389266014099
YY1,0.01952982550905106,0.99772047996521
KDM2A,0.009478839948970008,0.9986990094184875
TADA2A,0.008489443032079836,0.9986990094184875
ETV3,0.004359182501461284,0.9986990094184875
SATB1,0.0025806171399152156,0.9986990094184875
TFAP2C,0.0016306141757902873,0.9986990094184875
KAT7,-0.005646121533309989,0.9986990094184875
ZBTB4,-0.0057584055291955375,0.9986990094184875
NFKB,-0.0077345552434953235,0.9986990094184875
TRERF1,-0.009989730180308243,0.9986990094184875
SMAD5,-0.018981853246835222,0.99772047996521
NEUROD2,-0.024920000485976354,0.9958124756813049
SMARCA4,-0.033573582794000384,0.9931373596191406
ZNF76,-0.03462514619720892,0.9931373596191406
SCX,-0.05468025903985989,0.9887776970863342
NEUROG1,-0.05971193081876605,0.9877691268920898
TCF7L2,-0.06577463674486515,0.9871577024459839
MBD1,-0.0687898625616542,0.9861289262771606
OLIG1,-0.0747430316637706,0.9826547503471375
THAP11,-0.08159512144325885,0.9784243106842041
EGR4,-0.09520685100048083,0.9714920520782471
RXRG,-0.0978039033303951,0.9714920520782471
HDAC3,-0.0982676837901313,0.9714920520782471
SHOX2,-0.09866148134721532,0.9714920520782471
IRF4,-0.099391991072154,0.9714920520782471
NR4A3,-0.10656223010459462,0.9714920520782471
DLX3,-0.1089785449940414,0.9714920520782471
BCL11A,-0.11161241560531374,0.9714920520782471
GFI1B,-0.11249087816315563,0.9714920520782471
SALL3,-0.11260082952691086,0.9714920520782471
SP4,-0.12078456431526194,0.9714920520782471
SOX10,-0.1217079890244128,0.9714920520782471
CTNNB1,-0.1299901355510672,0.9714920520782471
ZFPM2,-0.130429021960443,0.9714920520782471
MKX,-0.13215368118979964,0.9714920520782471
LMO2,-0.14177327643286589,0.9714920520782471
KCNIP3,-0.14284209587970922,0.9714920520782471
KLF7,-0.1449860407504723,0.9714920520782471
MLXIP,-0.1467232802722439,0.9714920520782471
MAFG,-0.1486964153804785,0.9714920520782471
