source,target,mor,target_stat
SMAD4,THBS1,1.0,3.6668201069002913
E2F1,CDK1,1.0,-6.596641118498787
EGR1,COL2A1,-1.0,3.2254020405751813
SP1,PON1,1.0,-2.7388894952320597
ESR1,PTPN6,1.0,2.4992689164358093
SP1,CENPX,1.0,-4.43294969657362
CREB1,PCNA,1.0,-4.844095724228697
ETS2,CREBBP,1.0,-2.7490730345206087
ESR1,CCN5,1.0,2.8477874563916035
CREB1,RB1,1.0,-3.3596036438931587
TP53,NME1,1.0,3.368263387891873
EGR1,CD44,1.0,2.8811164317084033
SP1,MAZ,1.0,3.5050676990497434
STAT6,TNFSF11,1.0,2.1559243471146337
NFKB1,CXCR4,1.0,3.180982845092012
RELA,CXCR4,1.0,3.180982845092012
TP53,ARID3A,1.0,-2.374657241345754
YBX1,CCNA2,1.0,-7.72999844065542
YBX1,CCNB1,-1.0,-5.148531837620426
SMAD3,ACTA1,1.0,2.155424291490793
RARA,CYP26A1,1.0,-2.4610485482985416
SP1,CDK2,1.0,-10.849427631653183
IRF1,CDK2,-1.0,-10.849427631653183
TP53,CDK2,-1.0,-10.849427631653183
ESR1,CAD,1.0,-2.5905376924121097
SP1,CAD,1.0,-2.5905376924121097
TP53,ESR1,1.0,-2.4381889131823837
SP1,FGL2,1.0,4.31811124858102
RELA,SULT1E1,1.0,4.086495761851927
TP63,SULT1E1,1.0,4.086495761851927
ESR1,ACSBG1,1.0,-2.5996705272200256
TP53,TRAF4,1.0,-2.842634221175454
ESR1,DNMT1,1.0,-3.703520576842202
E2F4,ESR1,-1.0,-2.4381889131823837
SRF,CSRP2,1.0,2.8828510973575927
SP1,CXCR4,1.0,3.180982845092012
TFAP4,IL1B,1.0,3.2461824392939853
TFAP4,TGFB1,1.0,3.022154808637843
TP53,HMGB1,1.0,-4.759945413312727
JUN,HSPB1,1.0,2.457998379496795
IRF1,OGN,1.0,3.1673202731530385
ETV4,MUC4,1.0,-2.166981946123654
CLOCK,FKBP5,1.0,2.869038575875071
JUNB,TNFRSF8,1.0,3.243721648061006
TP53,MAD1L1,-1.0,-4.279482028545742
TP53,PRC1,-1.0,-7.951862983724839
ETS2,APP,1.0,3.9224812784918974
EGR1,AR,-1.0,3.159246454108278
TP53,DUSP1,1.0,3.367929524900669
SP1,KL,1.0,-2.8987253508572537
STAT6,COL1A2,1.0,3.4818647675982857
JUND,IL11,1.0,2.5255428475587514
JUN,GC,1.0,-3.4018507709393875
SRF,MRTFA,1.0,-2.0357718994217504
EGR1,OCM2,1.0,-3.681988892043456
SP1,F2R,1.0,2.81343917472412
TFDP1,CDK2,1.0,-10.849427631653183
CEBPB,TNFRSF11A,1.0,3.243721648061006
JUN,INS,-1.0,-3.1429458172706743
MYOD1,JUN,1.0,3.396546800075237
MYOG,JUN,1.0,3.396546800075237
MYOG,MYL1,1.0,3.408598874433413
JUN,PCNA,1.0,-4.844095724228697
ESR1,AMH,1.0,-3.593475126534455
JUN,FOSL1,1.0,-2.460526589306318
JUND,FOSL1,1.0,-2.460526589306318
JUNB,JUN,-1.0,3.396546800075237
TFAP4,APP,1.0,3.9224812784918974
SP1,FTH1,1.0,3.7965176940000473
SP1,UGT1A7,1.0,-2.076373132776965
JUN,TGFBI,1.0,3.4031158388381533
SP1,MGMT,-1.0,-4.430154740631117
MYB,TIMM17A,1.0,3.1597815226833608
EGR2,JUN,1.0,3.396546800075237
CEBPB,CD44,1.0,2.8811164317084033
IRF1,UGT1A9,1.0,-2.076373132776965
FOS,CSF1,-1.0,2.291847031312138
JUN,CSF1,1.0,2.291847031312138
E2F1,CHEK1,1.0,-8.925661230260802
ETS2,ADIPOQ,1.0,2.519095239519067
ETS2,ANPEP,1.0,-7.127585535979395
GATA2,MMP2,1.0,3.059795577702193
MEF2C,TNF,1.0,2.941879845906474
MYOD1,MAF,1.0,4.4821166953331355
SP1,ARNT,1.0,2.979013518477683
JUN,MAT2A,1.0,2.791143890891142
CEBPB,SLC22A5,1.0,-2.638219262792119
SP1,TNFRSF10B,1.0,3.243721648061006
SP1,CTSL,1.0,-4.711624219334852
AR,SULT1A1,1.0,4.086495761851927
NFKB1,AR,-1.0,3.159246454108278
CEBPB,GDNF,1.0,-2.9312994902461047
CEBPB,SOCS3,1.0,3.3774192114124952
IRF1,IRF8,1.0,2.643376952496637
SP1,MSH6,1.0,-8.220272532167707
SP1,PYY,1.0,3.3312655203347386
CREB1,CEBPB,1.0,3.709366240694985
RELA,TGFB1,1.0,3.022154808637843
STAT6,COL1A1,1.0,3.443186665818423
HIF1A,GCK,1.0,-4.812194816071876
TP53,TNFRSF10C,1.0,3.243721648061006
SMAD3,SLC5A5,-1.0,-2.017936939760036
SP1,PTGER4,1.0,-2.0515073065392784
SP1,SNCG,1.0,3.9863801492007567
CREB1,OPRM1,1.0,-2.1631537259200964
TP53,ADA,1.0,2.9413469770561287
SMAD3,TAGLN,1.0,4.4519625470378035
REL,IL1B,1.0,3.2461824392939853
CEBPB,DLX3,1.0,2.342359900147222
STAT3,MMP14,1.0,3.835413434787864
ESR1,JUN,1.0,3.396546800075237
JUN,ESR1,1.0,-2.4381889131823837
FOS,IL1B,1.0,3.2461824392939853
JUND,IL1B,1.0,3.2461824392939853
NFKB1,MAF,1.0,4.4821166953331355
RELA,MAF,1.0,4.4821166953331355
ESR1,HBB,1.0,-2.9677654517487757
EGR2,DDX20,1.0,-8.55054148250077
SP1,APP,1.0,3.9224812784918974
SP1,KLK3,1.0,-2.5342249597472484
HIF1A,AKT1,1.0,2.345211714691306
HIF1A,NR4A1,1.0,3.1465592465857655
SPI1,EIF2AK4,1.0,-3.7365397345492504
ESR1,LAMA1,1.0,-3.958938137148221
SP1,INS,1.0,-3.1429458172706743
EGR2,MAPK8IP1,1.0,-3.480876163378978
EGR1,EPHB2,1.0,-5.297389676757354
ESR1,ABCG2,1.0,-3.753506764663212
NFATC1,MMP14,1.0,3.835413434787864
SP1,CYP17A1,1.0,-4.138754962358037
JUN,CP,1.0,-2.52557486392709
SPI1,OPRM1,-1.0,-2.1631537259200964
TP63,INS,1.0,-3.1429458172706743
SP1,TGFA,1.0,-2.183150275034285
TP53,CHEK2,-1.0,-2.799145294135875
NFKB1,TGFB1,-1.0,3.022154808637843
TP53,LUM,1.0,2.335665372174165
CREB1,SLC2A3,1.0,2.32469637785902
YBX1,SLC2A3,1.0,2.32469637785902
STAT1,RB1,1.0,-3.3596036438931587
FOS,ACP5,1.0,-2.9007169808875077
TP63,LYN,1.0,2.4797664228660974
MEF2A,SNCG,1.0,3.9863801492007567
E2F1,SIVA1,1.0,-3.0509803740099395
TP53,SIVA1,1.0,-3.0509803740099395
MYB,DHRS2,1.0,-2.1719030129856467
MYB,TNFRSF10B,1.0,3.243721648061006
STAT3,MMP2,1.0,3.059795577702193
SP1,MIER1,1.0,-4.949288128881096
AR,LATS2,1.0,3.806300308700397
SP1,PHGDH,1.0,-4.718613282463846
ESR1,ESR1,1.0,-2.4381889131823837
NFATC2,SERPINF1,1.0,2.893484451136295
