,activity,pval
EOMES,-0.8559862272252468,0.6494689583778381
POU3F1,-0.8569958158563327,0.6494689583778381
NR4A2,-0.8663988717981121,0.6447815895080566
CREB5,-0.874417996273711,0.6406810283660889
SALL2,-0.8815389190607474,0.6383583545684814
PHOX2A,-0.8890726026552538,0.6362706422805786
KAT6A,-0.8986816790958517,0.6308407187461853
IRF7,-0.8995429312091873,0.6308407187461853
FOXQ1,-0.9115975457299063,0.622973620891571
ATF4,-0.9205499517970465,0.6164868474006653
HLX,-0.9209792135528024,0.6164868474006653
MYOCD,-0.9220961534113805,0.6164868474006653
KDM2A,-0.9367301395587444,0.6067302823066711
SKIL,-0.9444760083841662,0.6013957262039185
NCOA1,-0.9457023146874601,0.6013957262039185
HOXD1,-0.9460311687554389,0.6013957262039185
ETV5,-0.946248574271001,0.6013957262039185
SP2,-0.9487505572812247,0.6013957262039185
HOXB4,-0.9523578709782441,0.6013957262039185
MSX2,-0.9593568408816423,0.5992180705070496
FOSB,-0.9603600529328075,0.5992180705070496
AIRE,-0.963523675371602,0.5986918807029724
ZNF300,-0.9656767505723797,0.5986918807029724
KDM5D,-0.9670895541779628,0.5986918807029724
LYL1,-0.9773219790724953,0.596004068851471
ETV6,-0.97903869323041,0.596004068851471
TGFB1I1,-0.9878180052495488,0.5930902361869812
SATB2,-0.9930251660491097,0.5900481939315796
HOXD13,-0.9933579308177172,0.5900481939315796
ZBTB7A,-0.9934180721360784,0.5900481939315796
PITX2,-0.9940366026001196,0.5900481939315796
NRF1,-0.9997224793758697,0.5900481939315796
NKRF,-1.0019863141822123,0.5900481939315796
NFYA,-1.0030765856694908,0.5900481939315796
FOXP1,-1.0261621968891577,0.5718876123428345
YAP1,-1.0270845895678447,0.5718876123428345
KAT7,-1.0364346126549318,0.5676504373550415
EZH2,-1.0372984447570481,0.5676504373550415
ZNF699,-1.0395600869789112,0.5676504373550415
HOXB7,-1.067859934785271,0.5497469902038574
MXI1,-1.075695772219044,0.5445449352264404
LHX3,-1.0757897291259486,0.5445449352264404
FOXD3,-1.0776550103039135,0.5445449352264404
MITF,-1.0801479952179982,0.5445449352264404
ZFPM1,-1.084653622304521,0.5431435108184814
NONO,-1.0922514982015685,0.5397617816925049
SIM2,-1.0973156677610076,0.5376721620559692
MBD2,-1.0994341735858457,0.5376721620559692
KLF3,-1.1001068363506723,0.5376721620559692
TBX2,-1.102024179964506,0.5376721620559692
TET1,-1.1029527782101152,0.5376721620559692
HOXD3,-1.1053209959584944,0.5376721620559692
MAFK,-1.1103820045547368,0.5369364023208618
ZNF76,-1.1111816916160067,0.5369364023208618
FEZF2,-1.1179325151431778,0.5352717041969299
NKX3-1,-1.1211132657385345,0.5341466069221497
NFE2,-1.1473768242707527,0.5164539217948914
STAT2,-1.1562118088750863,0.5105655193328857
HOXC6,-1.1663208752387533,0.5041806101799011
NFYC,-1.1663259629577396,0.5041806101799011
POU2F1,-1.1711609719071747,0.5041806101799011
SMAD4,-1.1752235147543642,0.5024900436401367
REL,-1.1859709492898973,0.4951012432575226
TCF21,-1.1899357298243263,0.49337583780288696
ZFPM2,-1.1925209623557775,0.49279698729515076
LITAF,-1.2003301391384336,0.48946505784988403
ID1,-1.2213028969033877,0.4753963053226471
TFE3,-1.2221668558464212,0.4753963053226471
NR4A1,-1.2223644397877826,0.4753963053226471
IRF3,-1.2273236675520962,0.47511762380599976
CREB1,-1.2368741681008948,0.4720018804073334
NFKBIB,-1.2391689697723889,0.4720018804073334
CEBPE,-1.2408903940951719,0.4720018804073334
NFKB2,-1.2540621873313347,0.4643034338951111
CEBPZ,-1.2576435717137027,0.4643034338951111
HAND2,-1.2632014225660282,0.46315106749534607
ID3,-1.266743474001932,0.4618588984012604
TCF15,-1.2692608982412188,0.4613949656486511
SMAD2,-1.2704852140812992,0.4613949656486511
MTF1,-1.279797256921885,0.4560626745223999
PBX1,-1.2893981012321996,0.45084720849990845
PIAS1,-1.2904861411371134,0.45084720849990845
SMAD5,-1.2933903045790731,0.45084720849990845
HMGA1,-1.295252584419677,0.45084720849990845
RARB,-1.2974346395992613,0.45084720849990845
RB1,-1.2982984462636695,0.45084720849990845
PLAG1,-1.308830559648196,0.44858700037002563
JUND,-1.3111522097119623,0.4483228921890259
DLX2,-1.3169418440329506,0.44530096650123596
SOX17,-1.3180070310882477,0.44530096650123596
THRB,-1.3237113422401894,0.44310036301612854
KDM5B,-1.3250196578586604,0.44310036301612854
MYC,-1.3301076909307266,0.44121187925338745
HOXC8,-1.331379335210586,0.44121187925338745
CTBP2,-1.3338798896422301,0.44121187925338745
ESRRB,-1.3460845136916897,0.4349727928638458
CXXC1,-1.3601548600958702,0.427138090133667
PRDM1,-1.3602759323423501,0.427138090133667
FOXI1,-1.3669086254135325,0.425047904253006
KDM5A,-1.3738955020678174,0.42121702432632446
TFCP2,-1.3744770058104894,0.42121702432632446
TFAP2C,-1.3761147404210203,0.42121702432632446
STAT4,-1.377142653006534,0.42121702432632446
OTX2,-1.381427971132701,0.42121702432632446
ZNF335,-1.3822604441489268,0.42121702432632446
PDX1,-1.387944944143743,0.42121702432632446
BARX2,-1.393855422179762,0.42121702432632446
ARX,-1.394777631672604,0.42121702432632446
NCOA3,-1.4068001686854488,0.41497913002967834
RORC,-1.4129071429071265,0.4118959605693817
MBD1,-1.419155602271765,0.4087209701538086
CDX1,-1.4225342664280323,0.40775033831596375
CRX,-1.423705556946363,0.40775033831596375
MAF,-1.4318415735176417,0.4071269929409027
PEG3,-1.4360968988325382,0.40550747513771057
KLF6,-1.4412334278498091,0.40322330594062805
FOS,-1.4435833802326667,0.40306875109672546
HOXA13,-1.4447460382465431,0.40306875109672546
USF2,-1.4471614186271937,0.40306875109672546
OLIG1,-1.4472152627556332,0.40306875109672546
ZGLP1,-1.4478614745049736,0.40306875109672546
GATA6,-1.4510694254292082,0.40306875109672546
NFE2L1,-1.4532089662585796,0.40306875109672546
RXRB,-1.4691854117350134,0.39516276121139526
ELF4,-1.4789902751737414,0.39107996225357056
LMX1B,-1.4795242792185064,0.39107996225357056
ELF5,-1.4855238416803644,0.38948336243629456
VSX2,-1.4895834264986418,0.38809874653816223
HNF4A,-1.4915543530263444,0.38809874653816223
TRPS1,-1.4977251355508836,0.3853324055671692
RARA,-1.4999643181795725,0.3853253424167633
AR,-1.5006735431186582,0.3853253424167633
HOXD4,-1.5065944294710216,0.38372039794921875
SOX2,-1.5088535517116224,0.3837137520313263
SOX5,-1.5147335462589355,0.3810140788555145
PAX5,-1.5217851539935388,0.3774634599685669
CLOCK,-1.5269363093643329,0.37533432245254517
ZNF148,-1.534361164521301,0.3732171952724457
GTF3A,-1.5415106389174156,0.3696535527706146
EGR4,-1.5442107445391797,0.36935150623321533
KLF5,-1.5483562173116674,0.36800089478492737
FOXA2,-1.552113891542085,0.3669394552707672
NRG1,-1.553914752434516,0.3669394552707672
LHX8,-1.5558622166220077,0.3669394552707672
HESX1,-1.5617687990242686,0.3666647970676422
SNAI1,-1.5618440752387617,0.3666647970676422
TFAP2B,-1.5639273276136312,0.3666647970676422
TP73,-1.565602399145675,0.3666647970676422
ATF2,-1.5662555692613545,0.3666647970676422
NKX2-2,-1.569224992789282,0.3666647970676422
STAT1,-1.5698218763136011,0.3666647970676422
ZNF202,-1.5774324590734918,0.3666647970676422
NFE2L2,-1.5781475645812062,0.3666647970676422
PURA,-1.5822484371587258,0.3666647970676422
TBX5,-1.5829992653244687,0.3666647970676422
PITX1,-1.6066572057161055,0.353093683719635
SPIB,-1.6130593294653837,0.3502465784549713
GTF2I,-1.6135828986989267,0.3502465784549713
KLF9,-1.6162235274920391,0.3502465784549713
TEAD4,-1.6200731096673444,0.3502465784549713
PML,-1.6203287650267255,0.3502465784549713
NSD2,-1.6324638389940747,0.34688451886177063
CTNNB1,-1.6343885459748364,0.34688451886177063
MAZ,-1.6391107926541844,0.3456892967224121
ZNF362,-1.649685708538218,0.3399770259857178
MYF6,-1.6536060381766124,0.3389790952205658
FOXG1,-1.654890110270856,0.3389790952205658
GLI1,-1.6596403899066416,0.3383796215057373
HOXB2,-1.6599988828498928,0.3383796215057373
EWSR1,-1.665692442325889,0.3383796215057373
ZKSCAN7,-1.6744230498846968,0.3350389003753662
HAND1,-1.6818985375965738,0.33161598443984985
MAFG,-1.6878221964734674,0.32929307222366333
WWTR1,-1.6889558266910787,0.32929307222366333
NEUROD1,-1.6893258652130914,0.32929307222366333
IRF8,-1.6928839329756917,0.32929307222366333
THRA,-1.705751823881019,0.32409223914146423
TEAD1,-1.7113341027567122,0.32206371426582336
TBX15,-1.7242164310476833,0.3151165544986725
ERG,-1.728026718123524,0.31432250142097473
SOX9,-1.7342938725675636,0.31189340353012085
ONECUT1,-1.7417457087675818,0.30869680643081665
HR,-1.746686623861227,0.30718299746513367
ARNT,-1.7663042968275706,0.29784905910491943
NFIC,-1.7703695893284983,0.2969506084918976
CEBPA,-1.7735886442171642,0.2969506084918976
NFIA,-1.7787323006914744,0.2969506084918976
STAT6,-1.7848941890212828,0.29632097482681274
LEF1,-1.7861517714563693,0.29632097482681274
GFI1B,-1.7915778802242972,0.295561820268631
KLF11,-1.7921561356753342,0.295561820268631
HEY1,-1.8060712118023932,0.289817214012146
HEY2,-1.8100642007023684,0.28905147314071655
KLF13,-1.8413051218022383,0.2747247815132141
NRL,-1.8453583684465034,0.27402547001838684
LMO2,-1.8597590939643682,0.26871851086616516
PAX7,-1.8721851538218988,0.2629810869693756
PRDM4,-1.8751457696373246,0.2629227340221405
GATA3,-1.8772822475388031,0.2629227340221405
PLAGL1,-1.8826974723456107,0.26186317205429077
EPAS1,-1.8899750720957578,0.2592742145061493
ATF1,-1.8961017222253833,0.25738510489463806
