,gene_name,log2FC_full,log2FC_reduced,qvalue_full,qvalue_reduced,sig_full,sig_reduced,same_direction
ENSDARG00000055638,ankrd33aa,2.599261054846406,2.801416639884126,0.27570651621268,0.0022860629269049414,False,True,True
ENSDARG00000040485,gsdmeb,-1.0805241176421272,-1.2389887384212213,0.2776065273733837,0.015842541110518096,False,True,True
ENSDARG00000103132,dnaaf2,1.513350642484264,1.5104003049879282,0.2776065273733837,0.04276468068850631,False,True,True
ENSDARG00000019516,sp7,1.740120714422807,1.8787297261212736,0.27973307463087355,0.04528894007968264,False,True,True
ENSDARG00000043818,si_ch211-119c20.2,1.3838152352352142,1.7663643837007188,0.28070093899969695,8.755605319706368e-07,False,True,True
ENSDARG00000103692,p4ha3,2.4654658340054967,3.009972616308802,0.2821420048174201,0.007155349532140859,False,True,True
ENSDARG00000077853,ttll2,-3.7769830115161307,-3.44122472143218,0.2821420048174201,0.040164103622089435,False,True,True
ENSDARG00000098369,si_dkey-165o8.1,1.976142114748003,1.962710282879104,0.28290464243102664,0.04205748606007392,False,True,True
ENSDARG00000036051,irx4b,2.401957098052645,4.270422427066195,0.28387715104780614,0.0001417998621607911,False,True,True
ENSDARG00000061259,sost,2.16529799528033,2.3549894609375848,0.28423596017623426,0.003453231708516995,False,True,True
ENSDARG00000056108,ndufa4,2.5120910371897054,2.5757948075934456,0.28423596017623426,0.011604817342878644,False,True,True
ENSDARG00000068088,tcnba,3.03041279670774,3.495921605623954,0.2880953457959692,0.03520048891162798,False,True,True
ENSDARG00000061819,wscd2,1.8988049222957362,2.453009760855639,0.2880953457959692,0.011759442783573007,False,True,True
ENSDARG00000104654,leap2,2.7402435157802,3.017884202308965,0.2882235852357076,2.737149315678426e-05,False,True,True
ENSDARG00000055437,METTL21C,-1.5562475786220786,-1.336036624814966,0.2899137957840679,0.011003810966972217,False,True,True
ENSDARG00000094879,si_dkey-277m11.2,2.9807410874025138,3.2907369844636,0.2901828662273157,0.0061922662135757405,False,True,True
ENSDARG00000111648,hist1h2a3,1.7320439572525896,2.995625215185709,0.2908829809091886,0.006843834541389871,False,True,True
ENSDARG00000053424,myl2b,-1.7336696009030597,-1.6304652009165381,0.29211406876313695,0.0026935016492851275,False,True,True
ENSDARG00000077487,spsb3b,1.9983810905064776,2.35760573120645,0.29281569973625676,0.015143549865097656,False,True,True
ENSDARG00000101743,gb_eh456644,3.7530526628940826,3.999803299245505,0.29281569973625676,0.03883821013057043,False,True,True
ENSDARG00000062357,tafa1a,2.163656874110062,2.552226846895562,0.2959750675656513,0.0016243432340931666,False,True,True
ENSDARG00000020595,gnl3l,-1.464487070334895,-1.2257280655234857,0.29659387682437466,0.03416120497167844,False,True,True
ENSDARG00000059651,cidec,2.6396553851943048,2.7715644712755583,0.29692655792202827,0.0033092633392795413,False,True,True
ENSDARG00000055045,casp3b,-1.2203214444801747,-1.2062950008285132,0.29800697019231237,0.0014866814038883465,False,True,True
ENSDARG00000113690,si_ch211-223g7.6,2.02568640028873,2.2663697124687294,0.29839679957915843,0.023614282095603966,False,True,True
ENSDARG00000100482,pmt,2.642581916034867,2.937708920988403,0.2990741707307884,0.00890406116671575,False,True,True
ENSDARG00000097890,si_ch1073-100f3.2,-2.1292557567096297,-2.348604403517608,0.3042992061731542,0.0371475811484941,False,True,True
ENSDARG00000014588,adcy2b,-1.4180299655685056,-1.205652004710838,0.3042992061731542,0.022794768657003212,False,True,True
ENSDARG00000104022,gcgra,2.4402391956146094,3.9611105207144606,0.30551679125360204,0.03169226312986448,False,True,True
ENSDARG00000079486,fam20a,2.635837953281459,4.073225022702948,0.30551679125360204,0.0015074802859256428,False,True,True
ENSDARG00000002013,grb10a,-1.1988721114159475,-1.001406555157237,0.30554841483884554,0.005742097904108701,False,True,True
ENSDARG00000103020,si_dkey-237i9.8,-1.851561262634458,-1.5708296848506036,0.30699015993880724,0.026784001958206245,False,True,True
ENSDARG00000097924,CU464134.1,7.0211144419150635,7.322376834569376,0.30764932712265636,0.002235993948347918,False,True,True
ENSDARG00000052690,arrdc3a,-1.8059179323297705,-1.6667916785153059,0.30970046395019923,0.001584547914690277,False,True,True
ENSDARG00000093322,si_dkeyp-87a6.2,2.925689341780833,3.1728359406944415,0.3106507207620548,0.00647641911095737,False,True,True
ENSDARG00000007720,sub1b,-1.1416130413121814,-1.4154549127828773,0.3106507207620548,0.013840405375870255,False,True,True
ENSDARG00000001975,hsd11b2,1.9963220127427022,2.3020134010383813,0.3110369860839975,0.0001724306858236116,False,True,True
ENSDARG00000062971,sdhaf2,-1.5550783523542786,-1.3964462409447378,0.3152250670476375,0.011685575278708848,False,True,True
ENSDARG00000033596,polr2c,-1.477654763447362,-1.9714831940056445,0.31799774001597036,0.0466839741083225,False,True,True
ENSDARG00000096091,BX927253.2,2.0806127103064536,3.4324636580876864,0.31965608785700395,0.004957907970567063,False,True,True
ENSDARG00000056090,capza1b,-1.4313632172547575,-1.2389409814878736,0.3238416489928769,6.145075498378815e-06,False,True,True
ENSDARG00000053853,slc13a2,3.4856098522631567,4.554829521526413,0.3254933080688717,0.011174189846597531,False,True,True
ENSDARG00000098433,utp6,-1.872978104327898,-2.1215592310862856,0.3279786481464789,0.0004472212389630494,False,True,True
ENSDARG00000041394,dnajb1b,0.9994076570912852,1.4880089675487242,0.3304822123078468,0.0002400714135317082,False,True,True
ENSDARG00000071005,ppp1r3ca,2.230925256787279,2.7199559820848522,0.3306563898170418,0.04162074266118563,False,True,True
ENSDARG00000087059,selenou1b,1.8568278285969875,2.1543398031666805,0.3312189136659155,2.9044786786693327e-05,False,True,True
ENSDARG00000099764,CR855389.1,2.921710189763685,3.22010955758622,0.3357973082737304,0.041291351223786577,False,True,True
ENSDARG00000103277,cyp24a1,1.7460244055485064,2.1386155601654346,0.33902350067247583,0.03623610846355214,False,True,True
ENSDARG00000009870,mapk8b,1.0074840099139923,1.1631266617111986,0.33988098773686065,0.028964174099926177,False,True,True
ENSDARG00000090230,tmem108,-1.3868619705668828,-1.2178062724335554,0.33989867902523574,0.00021002034705058673,False,True,True
ENSDARG00000008170,dbnla,-2.4803302208431677,-3.583720990845691,0.34161071110260677,0.03026331702958474,False,True,True
ENSDARG00000068874,si_ch211-250m6.7,-3.1793559254951016,-4.403637062655568,0.34425233487687285,0.03478987625192203,False,True,True
ENSDARG00000014556,serpinb1l3,0.9321886691507112,1.0916494625431006,0.34425233487687285,0.0024489684694066396,False,True,True
ENSDARG00000063895,mt-nd1,-1.9746569658984148,-1.687539333436128,0.34496886893220013,0.0003373143229874049,False,True,True
ENSDARG00000041060,lgals9l3,0.989689681587446,1.1943735751520619,0.34496886893220013,0.008604847643619904,False,True,True
ENSDARG00000096862,CR936975.1,2.2989656624764403,3.4015888109280734,0.3452114329715505,0.00015478066320841565,False,True,True
ENSDARG00000027609,hpn,2.041601111335978,2.3658142801058872,0.34545711472934837,0.0007102368222912476,False,True,True
ENSDARG00000104015,fgfr1bl,1.8118543928710895,1.9017056121445688,0.3493236688686445,0.02739119130242456,False,True,True
ENSDARG00000102138,foxa1,2.2023032581304864,2.4188090842685437,0.3493236688686445,0.019765705774312727,False,True,True
ENSDARG00000018687,itga2b,2.0193947373389762,2.277757622031583,0.34995179955624617,0.00023434409676016235,False,True,True
ENSDARG00000096988,CR589944.1,2.1086621015586084,2.762131799177022,0.34995179955624617,0.049991314246258814,False,True,True
ENSDARG00000087203,stk39,1.39669748353944,1.937118971808885,0.35016718199726077,0.03936498639088027,False,True,True
ENSDARG00000030775,sybl1,1.49928093081121,1.7796538582741597,0.35054827632083985,0.034729302109458314,False,True,True
ENSDARG00000059410,ccr12b.1,2.8450476098011763,4.420739670499986,0.35471619574794433,0.00856427647273381,False,True,True
ENSDARG00000008333,znfl2a,2.290469009835839,2.637660610193961,0.35471619574794433,0.033864858212687,False,True,True
ENSDARG00000057218,tbc1d15,-1.371992711216585,-1.1972055220410622,0.3548936470823397,0.004849200256267755,False,True,True
ENSDARG00000009689,daam1b,1.1388910869608388,1.5513402114946722,0.3588867932456704,0.010453347537617952,False,True,True
ENSDARG00000017794,sdr16c5b,1.6416341696709187,1.8639902544301101,0.35952032012546653,0.00017377768869601448,False,True,True
ENSDARG00000105507,zgc_112234,2.260750238245388,4.442134569656612,0.35982055228648135,0.03193283816146856,False,True,True
ENSDARG00000029075,pfkfb4b,1.5456618888159366,2.1025336672359236,0.36076327689548054,0.00011358794640194235,False,True,True
ENSDARG00000054878,six2b,-1.945199939345948,-1.722244402084041,0.36258027070341964,0.014609093617944404,False,True,True
ENSDARG00000092862,si_ch211-260p9.3,2.153890915605115,2.3884430072207223,0.36258027070341964,0.012260883970585525,False,True,True
ENSDARG00000036344,calb2b,-2.358119896634854,-2.085007985611782,0.36283237161701143,0.02013667589105179,False,True,True
ENSDARG00000020509,srd5a1,-1.7033973038015742,-1.5952272947680748,0.36283237161701143,0.005263485195880387,False,True,True
ENSDARG00000095217,zgc_66156,-1.753105729440928,-1.5957022104722054,0.363458365836616,0.006132047047767595,False,True,True
ENSDARG00000055874,cpe,1.9240819409727117,2.236337169277162,0.3648573999934843,0.006277018706343059,False,True,True
ENSDARG00000104961,ghrhra,2.8732704518668033,5.313398568346068,0.3659526945770812,0.028703962528794622,False,True,True
ENSDARG00000103476,trpm1b,1.3616263642627746,1.6759433328119373,0.36613447334001903,0.022024900279653783,False,True,True
ENSDARG00000098174,CABZ01088274.1,1.3317880243885338,1.5484207034575075,0.3666894572099289,3.0913970696635648e-06,False,True,True
ENSDARG00000080337,NC_002333.4,-1.6674151147894298,-1.3879522055236782,0.3720742436279017,0.00048285648470199196,False,True,True
ENSDARG00000098028,BX890602.1,2.3920714819742557,2.5313561421859188,0.377714557478837,0.02250297310641498,False,True,True
ENSDARG00000044441,si_ch73-194h10.2,-2.9089483765782758,-3.7893212859578393,0.38243058711470773,0.008639906971195653,False,True,True
ENSDARG00000104505,CABZ01046093.1,-1.3346229880419267,-2.343380122349057,0.38441120287759684,1.6556188028286603e-11,False,True,True
ENSDARG00000105403,abcc6b.1,2.1985684604739877,2.4482285502381593,0.38460517391128823,0.014967921653580902,False,True,True
ENSDARG00000010244,rpl22l1,0.8316856628168291,1.0861462636695913,0.3850798349624166,0.00567351977528194,False,True,True
ENSDARG00000100948,si_ch73-47f2.1,2.5544644060048403,3.265164476655715,0.3861800420796876,0.006313569227432624,False,True,True
ENSDARG00000008305,hand2,3.067266561500402,3.1675010517489866,0.3861886973508203,0.041313832811395224,False,True,True
ENSDARG00000044276,spp1,2.1251197816580203,2.413422546290887,0.39046657115477784,0.039619059083514666,False,True,True
ENSDARG00000103837,CU633479.2,-1.5880825237616718,-1.5048222744453845,0.3943511429289003,0.0016074603626893308,False,True,True
ENSDARG00000070371,kat7a,1.309937323861292,1.3195739516838678,0.3962848269944961,0.015026577374467486,False,True,True
ENSDARG00000045015,cyp27b1,2.8704131426499266,3.1243797022423156,0.3962848269944961,0.04487333403760514,False,True,True
ENSDARG00000008203,pax1a,1.8793792531555262,2.149405974890486,0.3964707951009084,0.047327648293027935,False,True,True
ENSDARG00000067805,ggcx,0.9819761218811635,1.331493986556826,0.3970901034954339,0.013470429672257095,False,True,True
ENSDARG00000032705,foxg1b,2.5668269133709125,2.992011798098638,0.39783217476007154,0.020727496138635147,False,True,True
ENSDARG00000108454,RF00001,4.731773382879276,4.9615569103673955,0.39796824961423555,0.04809974761732841,False,True,True
ENSDARG00000078512,acaca,1.3894328919116699,1.7686314484966392,0.39796824961423555,0.013823495187108218,False,True,True
ENSDARG00000053196,mtor,-0.952132051141644,-1.0530640277168732,0.39883333318930764,0.01517579792433464,False,True,True
ENSDARG00000075161,defbl1,2.117347012390108,2.2611013076580524,0.4007174193212798,0.0007786472413333471,False,True,True
